,Genus,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,MaxCompletion,Group,Type
979,Shimia,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
980,Sinomicrobium,0,1,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,Bacteroidota,MAG
981,Sneathiella,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
982,Sphaerisporangium,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.5,Actinobacteriota,MAG
983,Sphingobium,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
984,Sphingomonas,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
985,Sphingopyxis,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
986,Sphingopyxis_A,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
987,Sphingorhabdus,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
988,Spongiibacter,0,0,1,0,1,0,0,1,0,0.25,0,0.5,0.25,0,0.333333333333333,0.5,Gamma-Other,MAG
989,Staphylococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,MAG
990,Stappia,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
991,Stenotrophomonas,0,0,0,0,0,0,0,1,0,0.25,0,0.25,0,0,0,0.25,Gamma-Other,MAG
992,Streptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,MAG
993,Streptomyces,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Actinobacteriota,MAG
994,Sulfitobacter,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
995,Sulfitobacter_C,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
996,Sulfurimonas,0,1,1,0,0,1,0,0,0,0.25,0.25,0.5,0.5,0,0.333333333333333,0.5,Bacteria-Other,MAG
997,Sulfurovum,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Bacteria-Other,MAG
998,Sunxiuqinia,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Bacteroidota,MAG
999,Synechococcus_B,1,0,1,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.5,Cyano-Syn,MAG
1000,Synechococcus_C,1,0,1,0,1,1,0,0,1,0.5,0.75,0.5,0.75,0.666666666666667,0.666666666666667,0.75,Cyano-Syn,MAG
1001,TCS55,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Marinisomatota,MAG
1002,TMED-70,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Chloroflexota,MAG
1003,TMED108,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Marinisomatota,MAG
1004,TMED109,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Alpha-Other,MAG
1005,TMED112,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Gamma-SAR86,MAG
1006,TMED113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidota,MAG
